in_btc,out_btc,total_btc,mean_in_btc,mean_out_btc,in_malicious,out_malicious,is_malicious,out_and_tx_malicious,all_malicious,vin_sz,vout_sz,size,fee,time,sat_per_byte
2.9,2.9,5.8,2.9,1.45,0,0,0,0,0,1,2,258,0,1301358189,0.0
0.46,0.46,0.92,0.46,0.23,0,0,0,0,0,1,2,258,0,1300837872,0.0
37.82,37.82,75.64,37.82,18.91,0,0,0,0,0,1,2,259,0,1302360680,0.0
96.51,54.59,151.10000000000002,96.51,54.59,0,0,0,0,0,2,2,438,0,1302336874,0.0
1.03,1.01,2.04,0.1471428571428571,0.505,0,0,0,0,0,7,2,1336,2000000,1305012854,1497.005988023952
50.02,50.02,100.04,50.02,25.01,0,0,0,0,0,1,2,192,0,1305177356,0.0
128.52,118.55,247.07,128.52,118.55,0,0,0,0,0,2,2,439,0,1304580078,0.0
0.05,0.05,0.1,0.05,0.05,0,0,0,0,0,1,1,225,0,1303937140,0.0
1.42,1.39,2.81,1.42,1.39,0,0,0,0,0,1,2,257,1000000,1304478100,3891.0505836575876
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,224,0,1303739981,0.0
35.29,35.290000000000006,70.58000000000001,35.29,17.645000000000003,0,0,0,0,0,1,2,258,0,1305519181,0.0
11.701,11.701,23.402,11.701,5.8505,0,0,0,0,0,1,2,257,0,1305159297,0.0
0.05,0.05,0.1,0.05,0.025,0,0,0,0,0,1,2,259,0,1305232149,0.0
2.9,1.86,4.76,2.9,1.86,0,0,0,0,0,1,2,258,0,1304725763,0.0
1.48,1.47,2.95,1.48,0.735,0,0,0,0,0,1,2,257,1000000,1304440168,3891.0505836575876
1.0,1.0,2.0,0.5,1.0,0,0,0,0,0,2,1,405,0,1306859016,0.0
40.0,40.0,80.0,40.0,40.0,0,0,0,0,0,1,1,225,0,1304597484,0.0
10.000000000000002,10.0,20.0,2.5000000000000004,10.0,0,0,0,0,0,4,1,764,0,1304233768,0.0
184.15,180.87,365.02,184.15,180.87,0,0,0,0,0,2,2,438,0,1304396511,0.0
0.8,0.79,1.59,0.8,0.395,0,0,0,0,0,1,2,257,1000000,1304883240,3891.0505836575876
43.88,43.77,87.65,43.88,43.77,0,0,0,0,0,1,2,258,0,1305487229,0.0
49.22,49.22,98.44,49.22,24.61,0,0,0,0,0,1,2,257,0,1305909400,0.0
33.04216556,33.04,66.08216555999999,5.5070275933333335,33.04,0,0,0,0,0,6,1,1124,216556,1305313067,192.66548042704628
40.87,40.87,81.74,40.87,20.435,0,0,0,0,0,1,2,258,0,1304885847,0.0
0.17,0.17,0.34,0.17,0.085,0,0,0,0,0,1,2,257,0,1303935962,0.0
0.27,0.27,0.54,0.27,0.135,0,0,0,0,0,1,2,257,0,1304896152,0.0
0.22,0.22,0.44,0.22,0.11,0,0,0,0,0,1,2,259,0,1305267126,0.0
2.95,2.95,5.9,2.95,1.475,0,0,0,0,0,1,2,259,0,1304170185,0.0
4.46,4.45,8.91,4.46,2.225,0,0,0,0,0,1,2,257,1000000,1305441357,3891.0505836575876
2.53,2.5295,5.0595,2.53,1.26475,0,0,0,0,0,1,2,259,50000,1305846180,193.05019305019306
3.31,0.35,3.66,3.31,0.35,0,0,0,0,0,1,2,258,0,1304379095,0.0
50.27654322,50.26654322,100.54308644,50.27654322,25.13327161,0,0,0,0,0,1,2,191,1000000,1304827780,5235.602094240838
43.68,43.68,87.36,43.68,21.84,0,0,0,0,0,1,2,258,0,1304077179,0.0
5.0,5.0,10.0,5.0,2.5,0,0,0,0,0,1,2,257,0,1305238204,0.0
9.59,9.56,19.15,9.59,9.56,0,0,0,0,0,1,2,259,1000000,1304870829,3861.003861003861
43.681983,43.681983,87.363966,43.681983,21.8409915,0,0,0,0,0,1,2,258,0,1304778734,0.0
46.35385805,46.35385805,92.7077161,46.35385805,23.176929025,0,0,0,0,0,1,2,257,0,1305134960,0.0
8.71,8.71,17.42,1.4516666666666669,8.71,0,0,0,0,0,6,1,1123,0,1306999508,0.0
2.5,2.49,4.99,2.5,2.49,0,0,0,0,0,1,1,224,1000000,1306338479,4464.285714285715
4.02,4.01,8.03,2.01,4.01,0,0,0,0,0,2,1,403,1000000,1306625659,2481.3895781637716
4.1,4.09,8.19,4.1,2.045,0,0,0,0,0,1,2,258,1000000,1306119092,3875.968992248062
0.28,0.27,0.55,0.28,0.135,0,0,0,0,0,1,2,258,1000000,1306079412,3875.968992248062
7.41,7.4,14.81,7.41,3.7,0,0,0,0,0,1,2,258,1000000,1305989346,3875.968992248062
0.03,0.02,0.05,0.03,0.02,0,0,0,0,0,1,1,225,1000000,1306723932,4444.444444444444
12.02,12.01,24.03,4.006666666666667,6.005,0,0,0,0,0,3,2,619,1000000,1306122914,1615.5088852988692
46.0,46.0,92.0,23.0,46.0,0,0,0,0,0,2,1,404,0,1306433793,0.0
1.2000000000000002,1.18,2.38,0.1333333333333333,0.59,0,0,0,0,0,9,2,1698,2000000,1307762124,1177.8563015312131
0.0,50.05,50.05,0.0,50.05,0,0,0,0,0,1,1,135,0,1306780954,0.0
194.05547313,194.05547313,388.11094626,194.05547313,97.027736565,0,0,0,0,0,1,2,258,0,1307264657,0.0
267.57427381,267.57427381,535.14854762,267.57427381,133.787136905,0,0,0,0,0,1,2,257,0,1307313039,0.0
2.31,1.31,3.62,2.31,1.31,0,0,0,0,0,1,2,258,0,1307557747,0.0
154.51741219000002,154.51741219000002,309.03482438000003,154.51741219000002,77.25870609500001,0,0,0,0,0,1,2,258,0,1306616408,0.0
0.21,0.2,0.41,0.21,0.2,0,0,0,0,0,1,1,224,1000000,1306700777,4464.285714285715
10.500000000000002,10.51,21.01,0.3620689655172414,5.255,0,0,0,0,0,30,2,5479,0,1307428334,0.0
1.03,1.02,2.05,0.2575,0.51,0,0,0,0,0,4,2,796,1000000,1306387211,1256.2814070351758
2.89,2.89,5.779999999999999,1.4449999999999998,2.89,0,0,0,0,0,2,1,404,0,1306125712,0.0
39.04,39.04,78.08,39.04,19.52,0,0,0,0,0,1,2,258,0,1306521930,0.0
461.9,460.93,922.83,461.9,460.93,0,0,0,0,0,1,2,259,0,1307099015,0.0
3.37,3.3600000000000003,6.73,3.37,1.6800000000000002,0,0,0,0,0,1,2,258,1000000,1306933917,3875.968992248062
143.39063568,143.39063568,286.78127136,143.39063568,71.69531784,0,0,0,0,0,1,2,259,0,1306139844,0.0
1.17820793,1.17820793,2.3564158600000003,1.17820793,0.5891039650000001,0,0,0,0,0,1,2,257,0,1307308965,0.0
0.8525,0.8525,1.705,0.8525,0.42625,0,0,0,0,0,1,2,258,0,1306822798,0.0
5.0,5.0,10.0,5.0,5.0,0,0,0,0,0,1,1,224,0,1307339562,0.0
5.56,5.5600000000000005,11.12,2.78,5.5600000000000005,0,0,0,0,0,2,1,404,0,1307059358,0.0
39.64,39.64,79.28,39.64,19.82,0,0,0,0,0,1,2,258,0,1306552785,0.0
243.75,243.75,487.5,81.25,243.75,0,0,0,0,0,3,1,584,0,1306976171,0.0
0.78,0.77,1.55,0.78,0.385,0,0,0,0,0,1,2,259,1000000,1306705582,3861.003861003861
45.41,45.400000000000006,90.81,45.41,22.700000000000003,0,0,0,0,0,1,2,258,1000000,1306136314,3875.968992248062
0.16,0.16,0.32,0.0533333333333333,0.16,0,0,0,0,0,3,1,584,0,1306370709,0.0
0.12,0.11,0.23,0.12,0.055,0,0,0,0,0,1,2,258,1000000,1306217282,3875.968992248062
6.73,6.73,13.46,6.73,3.365,0,0,0,0,0,1,2,259,0,1307632827,0.0
0.23,0.2199999999999999,0.4499999999999999,0.23,0.1099999999999999,0,0,0,0,0,1,2,257,1000000,1307554485,3891.0505836575876
0.51,0.51,1.02,0.51,0.255,0,0,0,0,0,1,2,259,0,1307777240,0.0
0.43,0.42,0.85,0.43,0.21,0,0,0,0,0,1,2,259,1000000,1307850445,3861.003861003861
300.0,300.0,600.0,300.0,300.0,0,0,0,0,0,1,1,224,0,1307499433,0.0
4.04,4.04,8.08,2.02,4.04,0,0,0,0,0,2,1,404,0,1307370555,0.0
3.2300003,3.2300003,6.4600006,3.2300003,1.61500015,0,0,0,0,0,1,2,258,0,1307513041,0.0
137.72,137.72,275.44,137.72,68.86,0,0,0,0,0,1,2,258,0,1307424991,0.0
0.0,50.160505,50.160505,0.0,50.160505,0,0,0,0,0,1,1,135,0,1307401035,0.0
46.4805,46.4805,92.961,46.4805,23.24025,0,0,0,0,0,1,2,257,0,1307696551,0.0
16.47,16.470000000000002,32.94,16.47,8.235000000000001,0,0,0,0,0,1,2,258,0,1307611088,0.0
6.82,6.8100000000000005,13.63,2.273333333333333,3.405,0,0,0,0,0,3,2,618,1000000,1307897657,1618.1229773462783
35.99,35.980000000000004,71.97,35.99,17.990000000000002,0,0,0,0,0,1,2,259,1000000,1307734421,3861.003861003861
1.02,1.01,2.03,1.02,0.505,0,0,0,0,0,1,2,258,1000000,1307496705,3875.968992248062
