tx_hash,indegree,outdegree,in_btc,out_btc,total_btc,mean_in_btc,mean_out_btc,in_malicious,out_malicious,is_malicious,out_and_tx_malicious,all_malicious
6dcd83e7f6bf1ab09ade46f2b473f689afdc7cc8caed3f7cc7572c08ff8197d7,1,1,3.3000000000000003,3.25,6.550000000000001,3.3000000000000003,3.25,0,0,0,0,0
08206027d16a8e599cb0d920ac4f1bcb7b1468cc0af02b358febb6c455980487,1,2,956.13,956.13,1912.26,956.13,478.065,0,0,0,0,0
dff697716a4ee5c5bd6741c4dca210d8f8a0abc57c99d74d18a25b92ff7a53e4,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
543a5dba055b0d0040225f183b407b9e9d20802a4010b65dcadd832bd8e463ed,1,2,10.0,10.0,20.0,10.0,5.0,0,0,0,0,0
5cdd4e45c772ddee964a0619822a156160ecf9acd28f5452c29535331c8a8dcb,1,2,92.05,92.05,184.1,92.05,46.025,0,0,0,0,0
48e5e7e482058bb94947e3584961373270d0b6ccfba831ebe6c479c1aec85cdb,1,1,13.65,13.59,27.24,13.65,13.59,0,0,0,0,0
84c76cccffa46668523ff22ef701a6a9579820bcef8cc99d56a0321e8816da9e,1,2,0.04,0.04,0.08,0.04,0.02,0,0,0,0,0
d514863d7e5eac52cd538501356712164a6b5380ea43741169365e3460a4eff6,1,2,21.98,21.97,43.95,21.98,10.985,0,0,0,0,0
24077f7046dceec03aaca0c5b528c08c98474dd9268d44fff353ee633155b0c6,1,2,27.59,27.59,55.18,27.59,13.795,0,0,0,0,0
01b5a63523d54b9fb4139db14cdc1667e2d0472dc52686ee8d8638a88566f85d,1,2,49.78,49.78,99.56,49.78,24.89,0,0,0,0,0
93e5bd7b1489d25020ff216d6c445a0275d1bb0ca29d57e09979f9b8ec3cc2fa,1,1,50.0,50.0,100.0,50.0,50.0,0,0,0,0,0
f7a19bb6b0e011ff9d548330365b0a1633a565d7727ac794c67cd1ec8e25bb05,1,1,0.5,0.01,0.51,0.5,0.01,0,0,0,0,0
0fcb05959df771d13e0904b8faf528509994f085eca813a7b33509e7f1d854b6,1,2,300.0,300.0,600.0,300.0,150.0,0,0,0,0,0
c246c07121f2620733668f49410323431bb27fa485332963ba97d996b9eefd77,1,2,48.67,48.67,97.34,48.67,24.335,0,0,0,0,0
77ee52167c39c1d45dead85d1837bc75d40925a0f575a5600444c6a762238675,1,2,23.73,23.730000000000004,47.46000000000001,23.73,11.865000000000002,0,0,0,0,0
cd23a368fbee6f43d569dd847b5f759671abd007ea2e1929961457ead1da118d,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
5999ce3f28fb5ded37a740b0d7f838d52394e316226b3a310555bed02cfab369,1,2,140.0,140.0,280.0,140.0,70.0,0,0,0,0,0
844992c4cce0114dc421b99d7aafc8ab1765b252a7666be4c04174c3bb01f546,1,1,0.01,0.01,0.02,0.01,0.01,0,0,0,0,0
57bcd5f8b9ed1ce04478b972174339f45a60477f4fa14680089df1d645810e34,1,2,48.91,48.91,97.82,48.91,24.455,0,0,0,0,0
aa82fdb0569833528338791b5254fbce339c877240e4cfc297d81e84b6c359ca,1,2,46.5,46.5,93.0,46.5,23.25,0,0,0,0,0
5b23de4f072ad9eff7a849ffeccfef919eb95833ffaa71a0e825828cd8cae238,1,1,10.0,10.0,20.0,10.0,10.0,0,0,0,0,0
b2d676ae3eb1ab302f5d9ed3d6ee9fb46ed6c3108cc0560d1bc89ff5ca371738,1,2,5.89,5.89,11.78,5.89,2.945,0,0,0,0,0
5878abef8047317654c0697e6089564fb6f3f9cbc4eac0cd47a08b2ff0c0df68,2,1,100.0,100.0,200.0,50.0,100.0,0,0,0,0,0
d14538cfb3d1ba49db4fe3ae09c78a76d5f366a2b4d2e57eb0e99c09e5f8ac90,1,1,99.11,17.67,116.78,99.11,17.67,0,0,0,0,0
b8120c07a3ac5bf8fcdafb284055635f585b044b971f2d1091ea81acd07ef83c,1,2,4.34,4.33,8.67,4.34,2.165,0,0,0,0,0
086ef098f3bead508d5f34940e6081c3dd4943866b0f5ba595f496a201a5882e,21,2,150.75000000000003,150.71,301.46000000000004,7.17857142857143,75.355,0,0,0,0,0
b00b95017ea0910973fdb96c609af2032fcd7ce59b2e90053a72ae409ebab079,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
0d260b1cc2693c8aaaf255eab030a95c4d697406cc647d7ec4138fc768ab83cf,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
499f6bd7c6c33a40adac2aeca86fc68b221f397c7423fafdebcf57101d48a873,2,1,5.0,5.0,10.0,2.5,5.0,0,0,0,0,0
ac8131408af642516cc6ed36c81c3528557f5d70852bad64b056b62da3c0c982,0,1,0.0,50.03,50.03,0.0,50.03,0,0,0,0,0
44cd6491b5e3ff8b36102eea7e0968b88a8a6079b08535b9da30445bc276e093,1,2,50.01,50.010000000000005,100.02,50.01,25.005000000000003,0,0,0,0,0
a7fb845bbd950ed84d51410a5f60f8c4cd71e9976513abf24fdb154139ff41f7,10,1,0.4,0.4,0.8,0.04,0.4,0,0,0,0,0
ccdad95bd5f9b431d2cad9f842368aed9a131c48a96f001020c3d5d342ef0aee,1,2,32.83,32.83,65.66,32.83,16.415,0,0,0,0,0
c43531f1014ba4bbbba498726e2e84a4be7e5187f4886ffed1f0326a89a6a6f6,1,1,190.35,176.4,366.75,190.35,176.4,0,0,0,0,0
019d76b134bf62d3a6e3437148b7336827dd8fa659ee8719368475336c51cd44,2,1,1.0,1.0,2.0,0.5,1.0,0,0,0,0,0
b5cd5343aeb1acf4b7ed20b424114e07044f9835c83cc863266ce103fd21a6a6,1,2,7.11,7.1,14.21,7.11,3.55,0,0,0,0,0
f5e3062a4bd7323d79f7bd73ffa698cb0a72760647c2f0549259faf811dd1613,1,1,1.0,1.0,2.0,1.0,1.0,0,0,0,0,0
56736ddbfd9aa9b12fdf5b50f4946d00307027d1f70f94325692bed093837adb,1,2,10.98,10.98,21.96,10.98,5.49,0,0,0,0,0
681393632dbdbd4d2d1b95f7e4b7e9d1931e07d5b7fad8c82ec3454642101a75,1,2,0.64,0.64,1.28,0.64,0.32,0,0,0,0,0
4513bd1402bbeab95ab0d07c481aacc9a612f9a7cd5e71c5f386d3d2ffaa18a0,1,2,1.26,1.2600000000000002,2.5200000000000005,1.26,0.6300000000000001,0,0,0,0,0
ba99288897cdd7e406658f7bd069e1d825f0ad4e56f497a52290fb5a6e4c2b9d,1,1,0.01,0.01,0.02,0.01,0.01,0,0,0,0,0
54a0b8b839df3bbf3ee1e8d5e734bb403bf0ff361f3fb43e803796af07029802,1,1,1.6,1.54,3.14,1.6,1.54,0,0,0,0,0
7d99b89e4fc6c48b5420a5b675e565004c01f100cac972cfff01cd1f312337f0,1,2,10.09,10.09,20.18,10.09,5.045,0,0,0,0,0
0329e9922dccd42da632657f474ef8948e3b54e44ed6c27fd1eb90d22f737d8f,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
7191c29fcd1fed219520b49b0866f09740f8272a9eddb95157ad0283fb77a089,1,2,2.7,2.7,5.4,2.7,1.35,0,0,0,0,0
70c929650ab8d6d657c482d72d9df8616614451f709fb2bbd80e3b3e5e6c4557,1,1,124.64,84.21000000000001,208.85,124.64,84.21000000000001,0,0,0,0,0
9b8958b39e927f5334808460d64be727235112c098164052980ff9cac23683a4,1,2,5.23,5.23,10.46,5.23,2.615,0,0,0,0,0
95d1d3b65c044cc44d89aa059f62a9d6897b6bed6cbf205ae028d7e6786027ab,1,2,10.71,10.7,21.410000000000004,10.71,5.3500000000000005,0,0,0,0,0
